Mode_of_Shipment,Customer_rating,Gender,ontime,Decision
Ship,1,F,0,Positif
Ship,3,F,0,Positif
Ship,1,F,0,Negatif
Ship,4,M,0,Positif
Ship,1,M,1,Negatif
Ship,3,F,0,Positif
Ship,1,M,1,Negatif
Ship,5,M,1,Positif
Ship,1,M,1,Negatif
Ship,2,M,1,Positif
Ship,3,M,1,Positif
Ship,2,M,1,Negatif
Ship,4,M,1,Positif
Ship,3,M,1,Positif
Ship,1,F,1,Positif
Ship,1,M,1,Negatif
Ship,1,F,0,Negatif
Ship,1,M,0,Negatif
Ship,1,M,1,Positif
Ship,1,M,0,Positif
Ship,3,F,1,Positif
Ship,3,M,1,Positif
Ship,2,M,1,Positif
Ship,5,F,0,Positif
Ship,3,F,0,Positif
Ship,1,F,0,Negatif
Ship,4,F,0,Positif
Ship,2,M,0,Negatif
Ship,1,F,0,Negatif
Ship,2,F,0,Negatif
Ship,1,F,0,Negatif
Ship,1,F,1,Negatif
Ship,1,M,1,Negatif
Ship,2,M,0,Negatif
Ship,5,M,1,Positif
Ship,3,F,0,Positif
Ship,1,F,1,Negatif
Ship,1,M,0,Positif
Ship,5,F,1,Positif
Ship,1,F,1,Negatif
Ship,3,F,1,Positif
Ship,1,M,0,Negatif
Ship,5,M,1,Positif
Ship,1,F,0,Negatif
Ship,4,F,0,Positif
Ship,5,M,1,Positif
Ship,1,F,0,Negatif
Ship,3,F,1,Positif
Ship,1,M,1,Positif
Ship,5,F,1,Positif
Ship,3,F,0,Positif
Ship,3,F,1,Positif
Ship,1,M,1,Negatif
Ship,3,F,1,Positif
Ship,4,M,0,Positif
Ship,5,F,0,Positif
Ship,5,M,1,Positif
Ship,2,M,1,Negatif
Ship,3,F,1,Positif
Ship,2,M,1,Positif
Ship,5,F,0,Positif
Ship,2,M,1,Negatif
Ship,5,F,0,Positif
Ship,1,M,1,Negatif
Ship,3,M,1,Positif
Ship,5,F,1,Positif
Ship,2,F,1,Negatif
Road,4,F,1,Positif
